date,4. close
2020-12-08,153.72
2020-12-07,153.68
2020-12-04,154.14
2020-12-03,153.24
2020-12-02,153.61
2020-12-01,149.44
2020-11-30,148.01
2020-11-27,147.13
2020-11-25,149.09
2020-11-24,151.49
2020-11-23,145.98
2020-11-20,141.07
2020-11-19,141.72
2020-11-18,143.9
2020-11-17,144.5
2020-11-16,144.67
2020-11-13,138.36
2020-11-12,135.52
2020-11-11,137.82
2020-11-10,142.11
2020-11-09,142.59
2020-11-06,127.46
2020-11-05,126.96
2020-11-04,125.07
2020-11-03,124.02
2020-11-02,120.13
2020-10-30,121.25
2020-10-29,121.54
2020-10-28,118.47
2020-10-27,123.31
2020-10-26,124.06
2020-10-23,128.35
2020-10-22,127.56
2020-10-21,126.63
2020-10-20,124.95
2020-10-19,124.23
2020-10-16,126.81
2020-10-15,127.36
2020-10-14,126.59
2020-10-13,128.96
2020-10-12,124.97
2020-10-09,124.98
2020-10-08,123.09
2020-10-07,122.91
2020-10-06,120.93
2020-10-05,123.37
2020-10-02,122.55
2020-10-01,123.31
2020-09-30,124.08
2020-09-29,125.4
2020-09-28,125.99
2020-09-25,124.0
2020-09-24,122.49
2020-09-23,123.28
2020-09-22,127.21
2020-09-21,125.41
2020-09-18,128.63
2020-09-17,130.22
2020-09-16,132.09
2020-09-15,131.24
2020-09-14,131.25
2020-09-11,131.75
2020-09-10,133.22
2020-09-09,133.36
2020-09-08,134.2
2020-09-04,131.99
2020-09-03,133.24
2020-09-02,135.39
2020-09-01,133.55
2020-08-31,131.87
2020-08-28,135.54
2020-08-27,133.73
2020-08-26,132.18
2020-08-25,129.79
2020-08-24,130.69
2020-08-21,127.44
2020-08-20,128.12
2020-08-19,127.77
2020-08-18,128.92
2020-08-17,129.37
2020-08-14,130.53
2020-08-13,130.96
2020-08-12,131.79
2020-08-11,130.49
2020-08-10,128.79
2020-08-07,129.93
2020-08-06,130.82
2020-08-05,127.61
2020-08-04,117.29
2020-08-03,116.35
2020-07-31,116.94
2020-07-30,115.66
2020-07-29,115.61
2020-07-28,116.18
2020-07-27,116.31
2020-07-24,117.61
2020-07-23,118.12
2020-07-22,119.03
2020-07-21,118.62
2020-07-20,117.79
