date,4. close
2020-12-08,89.75
2020-12-07,89.14
2020-12-04,88.84
2020-12-03,86.1
2020-12-02,85.29
2020-12-01,84.27
2020-11-30,82.48
2020-11-27,82.66
2020-11-25,81.14
2020-11-24,82.95
2020-11-23,80.5
2020-11-20,76.725
2020-11-19,77.25
2020-11-18,75.71
2020-11-17,74.37
2020-11-16,74.48
2020-11-13,72.81
2020-11-12,69.8
2020-11-11,71.16
2020-11-10,69.39
2020-11-09,71.3
2020-11-06,70.53
2020-11-05,69.95
2020-11-04,64.86
2020-11-03,61.83
2020-11-02,60.33
2020-10-30,59.23
2020-10-29,59.5
2020-10-28,57.32
2020-10-27,58.83
2020-10-26,59.51
2020-10-23,60.95
2020-10-22,61.7
2020-10-21,62.11
2020-10-20,62.26
2020-10-19,62.05
2020-10-16,63.0
2020-10-15,63.51
2020-10-14,63.98
2020-10-13,64.69
2020-10-12,64.68
2020-10-09,63.29
2020-10-08,62.6
2020-10-07,61.12
2020-10-06,60.4
2020-10-05,60.6
2020-10-02,58.21
2020-10-01,60.65
2020-09-30,59.45
2020-09-29,59.65
2020-09-28,59.36
2020-09-25,58.23
2020-09-24,57.79
2020-09-23,57.25
2020-09-22,57.89
2020-09-21,57.32
2020-09-18,56.15
2020-09-17,56.34
2020-09-16,56.47
2020-09-15,57.2
2020-09-14,56.46
2020-09-11,55.0
2020-09-10,55.12
2020-09-09,55.2
2020-09-08,55.63
2020-09-04,60.96
2020-09-03,61.46
2020-09-02,65.08
2020-09-01,61.89
2020-08-31,61.6
2020-08-28,63.07
2020-08-27,62.03
2020-08-26,63.76
2020-08-25,64.05
2020-08-24,63.74
2020-08-21,62.27
2020-08-20,63.79
2020-08-19,65.87
2020-08-18,66.43
2020-08-17,66.94
2020-08-14,67.62
2020-08-13,65.07
2020-08-12,66.5
2020-08-11,64.46
2020-08-10,65.24
2020-08-07,63.57
2020-08-06,63.61
2020-08-05,64.87
2020-08-04,64.85
2020-08-03,65.01
2020-07-31,64.33
2020-07-30,64.42
2020-07-29,63.25
2020-07-28,62.3
2020-07-27,63.01
2020-07-24,60.62
2020-07-23,63.63
2020-07-22,64.22
2020-07-21,63.81
2020-07-20,63.73
