date,4. close
2020-12-08,145.52
2020-12-07,145.37
2020-12-04,145.85
2020-12-03,144.45
2020-12-02,144.62
2020-12-01,146.07
2020-11-30,144.23
2020-11-27,144.6
2020-11-25,144.16
2020-11-24,144.03
2020-11-23,143.02
2020-11-20,143.42
2020-11-19,143.32
2020-11-18,143.38
2020-11-17,145.24
2020-11-16,145.76
2020-11-13,144.71
2020-11-12,143.84
2020-11-11,143.9
2020-11-10,141.72
2020-11-09,138.45
2020-11-06,138.38
2020-11-05,138.05
2020-11-04,137.86
2020-11-03,137.04
2020-11-02,135.15
2020-10-30,133.29
2020-10-29,133.99
2020-10-28,134.17
2020-10-27,139.12
2020-10-26,138.06
2020-10-23,139.56
2020-10-22,139.61
2020-10-21,139.6
2020-10-20,139.71
2020-10-19,139.68
2020-10-16,141.73
2020-10-15,141.43
2020-10-14,142.52
2020-10-13,143.54
2020-10-12,142.13
2020-10-09,138.44
2020-10-08,137.85
2020-10-07,137.01
2020-10-06,135.7
2020-10-05,137.93
2020-10-02,138.06
2020-10-01,140.8
2020-09-30,138.6
2020-09-29,137.16
2020-09-28,137.97
2020-09-25,133.55
2020-09-24,131.58
2020-09-23,131.0
2020-09-22,132.15
2020-09-21,131.24
2020-09-18,131.47
2020-09-17,133.2
2020-09-16,134.98
2020-09-15,135.62
2020-09-14,136.67
2020-09-11,135.81
2020-09-10,134.76
2020-09-09,137.11
2020-09-08,135.55
2020-09-04,138.76
2020-09-03,139.37
2020-09-02,143.29
2020-09-01,139.19
2020-08-31,140.06
2020-08-28,139.94
2020-08-27,138.4
2020-08-26,138.47
2020-08-25,137.3
2020-08-24,137.64
2020-08-21,136.46
2020-08-20,136.72
2020-08-19,136.45
2020-08-18,138.11
2020-08-17,137.92
2020-08-14,137.56
2020-08-13,138.1
2020-08-12,137.8
2020-08-11,135.12
2020-08-10,135.98
2020-08-07,136.74
2020-08-06,135.86
2020-08-05,136.25
2020-08-04,137.47
2020-08-03,136.7
2020-07-31,137.66
2020-07-30,137.69
2020-07-29,137.93
2020-07-28,137.38
2020-07-27,137.67
2020-07-24,136.06
2020-07-23,137.08
2020-07-22,136.01
2020-07-21,134.43
2020-07-20,133.11
