date,4. close
2020-12-08,1.21
2020-12-07,1.26
2020-12-04,1.32
2020-12-03,1.3
2020-12-02,1.33
2020-12-01,1.32
2020-11-30,1.34
2020-11-27,1.37
2020-11-25,1.34
2020-11-24,1.34
2020-11-23,1.29
2020-11-20,1.27
2020-11-19,1.3
2020-11-18,1.3
2020-11-17,1.27
2020-11-16,1.23
2020-11-13,1.23
2020-11-12,1.26
2020-11-11,1.36
2020-11-10,1.35
2020-11-09,1.52
2020-11-06,1.22
2020-11-05,1.3
2020-11-04,1.34
2020-11-03,1.35
2020-11-02,1.26
2020-10-30,1.22
2020-10-29,1.32
2020-10-28,1.32
2020-10-27,1.38
2020-10-26,1.44
2020-10-23,1.48
2020-10-22,1.52
2020-10-21,1.57
2020-10-20,1.62
2020-10-19,1.61
2020-10-16,1.64
2020-10-15,1.63
2020-10-14,1.6
2020-10-13,1.67
2020-10-12,1.66
2020-10-09,1.65
2020-10-08,1.76
2020-10-07,1.68
2020-10-06,1.6
2020-10-05,1.62
2020-10-02,1.59
2020-10-01,1.65
2020-09-30,1.58
2020-09-29,1.61
2020-09-28,1.475
2020-09-25,1.41
2020-09-24,1.31
2020-09-23,1.36
2020-09-22,1.46
2020-09-21,1.4
2020-09-18,1.45
2020-09-17,1.4
2020-09-16,1.35
2020-09-15,1.34
2020-09-14,1.41
2020-09-11,1.35
2020-09-10,1.34
2020-09-09,1.34
2020-09-08,1.33
2020-09-04,1.41
2020-09-03,1.41
2020-09-02,1.44
2020-09-01,1.36
2020-08-31,1.46
2020-08-28,1.49
2020-08-27,1.45
2020-08-26,1.48
2020-08-25,1.57
2020-08-24,1.57
2020-08-21,1.55
2020-08-20,1.68
2020-08-19,1.71
2020-08-18,1.69
2020-08-17,1.72
2020-08-14,1.67
2020-08-13,1.55
2020-08-12,1.59
2020-08-11,1.55
2020-08-10,1.57
2020-08-07,1.67
2020-08-06,1.61
2020-08-05,2.05
2020-08-04,1.86
2020-08-03,1.9
2020-07-31,1.85
2020-07-30,1.95
2020-07-29,1.96
2020-07-28,1.87
2020-07-27,1.98
2020-07-24,2.08
2020-07-23,1.98
2020-07-22,1.99
2020-07-21,2.24
2020-07-20,1.86
